cin,in_size,cout,out_size,kernel_size,stride,note
8,229,64,112,7,2,conv1
64,56,64,56,1,1,res2a_branch2a
64,58,64,56,3,1,res2a_branch2b
64,56,256,56,1,1,res2a_branch2c
64,56,256,56,1,1,res2a_branch1
256,56,64,56,1,1,res2b_branch2a
64,58,64,56,3,1,res2b_branch2b
64,56,256,56,1,1,res2b_branch2c
256,56,64,56,1,1,res2c_branch2a
64,58,64,56,3,1,res2c_branch2b
64,56,256,56,1,1,res2c_branch2c
256,56,512,28,1,2,res3a_branch1
256,56,128,56,1,1,res3a_branch2a
128,57,128,28,3,2,res3a_branch2b
128,28,512,28,1,1,res3a_branch2c
512,28,128,28,1,1,res3b_branch2a
128,30,128,28,3,1,res3b_branch2b
128,28,512,28,1,1,res3b_branch2c
512,28,128,28,1,1,res3c_branch2a
128,30,128,28,3,1,res3c_branch2b
128,28,512,28,1,1,res3c_branch2c
512,28,128,28,1,1,res3d_branch2a
128,30,128,28,3,1,res3d_branch2b
128,28,512,28,1,1,res3d_branch2c
512,28,1024,14,1,2,res4a_branch1
512,28,256,28,1,1,res4a_branch2a
256,29,256,14,3,2,res4a_branch2b
256,14,1024,14,1,1,res4a_branch2c
1024,14,256,14,1,1,res4b_branch2a
256,16,256,14,3,1,res4b_branch2b
256,14,1024,14,1,1,res4b_branch2c
1024,14,256,14,1,1,res4c_branch2a
256,16,256,14,3,1,res4c_branch2b
256,14,1024,14,1,1,res4c_branch2c
1024,14,256,14,1,1,res4d_branch2a
256,16,256,14,3,1,res4d_branch2b
256,14,1024,14,1,1,res4d_branch2c
1024,14,256,14,1,1,res4e_branch2a
256,16,256,14,3,1,res4e_branch2b
256,14,1024,14,1,1,res4e_branch2c
1024,14,256,14,1,1,res4f_branch2a
256,16,256,14,3,1,res4f_branch2b
256,14,1024,14,1,1,res4f_branch2c
1024,14,2048,7,1,2,res5a_branch1
1024,14,512,14,1,1,res5a_branch2a
512,15,512,7,3,2,res5a_branch2b
512,14,2048,7,1,1,res5a_branch2c
2048,7,512,7,1,1,res5b_branch2a
512,9,512,7,3,1,res5b_branch2b
512,7,2048,7,1,1,res5b_branch2c
2048,7,512,7,1,1,res5c_branch2a
512,9,512,7,3,1,res5c_branch2b
512,7,2048,7,1,1,res5c_branch2c
